ranking,title,artist,year,artist_first,lyrics_url
1,Bad Day,Daniel Powter,2006,Daniel Powter,https://www.azlyrics.com/lyrics/danielpowter/badday.html
2,Temperature,Sean Paul,2006,Sean Paul,https://www.azlyrics.com/lyrics/seanpaul/temperature.html
3,Promiscuous,Nelly Furtado Featuring Timbaland,2006,Nelly Furtado,https://www.azlyrics.com/lyrics/nellyfurtado/promiscuous.html
4,You're Beautiful,James Blunt,2006,James Blunt,https://www.azlyrics.com/lyrics/jamesblunt/yourebeautiful.html
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,Shakira,https://www.azlyrics.com/lyrics/shakira/hipsdontlie.html
6,Unwritten,Natasha Bedingfield,2006,Natasha Bedingfield,https://www.azlyrics.com/lyrics/natashabedingfield/unwritten.html
7,Crazy,Gnarls Barkley,2006,Gnarls Barkley,https://www.azlyrics.com/lyrics/gnarlsbarkley/crazy.html
8,Ridin',Chamillionaire Featuring Krayzie Bone,2006,Chamillionaire,https://www.azlyrics.com/lyrics/chamillionaire/ridin.html
9,SexyBack,Justin Timberlake,2006,Justin Timberlake,https://www.azlyrics.com/lyrics/justintimberlake/sexyback.html
10,Check On It,Beyonce Featuring Slim Thug,2006,Beyoncé,https://www.azlyrics.com/lyrics/beyonceknowles/checkonit.html
11,Be Without You,Mary J. Blige,2006,Mary J. Blige,https://www.azlyrics.com/lyrics/maryjblige/bewithoutyou.html
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,Nelly,https://www.azlyrics.com/lyrics/nelly/grillz.html
13,Over My Head (Cable Car),The Fray,2006,The Fray,https://www.azlyrics.com/lyrics/fray/overmyheadcablecar.html
14,Me & U,Cassie,2006,Cassie,https://www.azlyrics.com/lyrics/cassie/meu.html
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,The Pussycat Dolls,https://www.azlyrics.com/lyrics/pussycatdolls/buttons.html
16,Run It!,Chris Brown,2006,Chris Brown,https://www.azlyrics.com/lyrics/chrisbrown/runit.html
17,So Sick,Ne-Yo,2006,Ne-Yo,https://www.azlyrics.com/lyrics/neyo/sosick.html
18,It's Goin' Down,Yung Joc,2006,Yung Joc,https://www.azlyrics.com/lyrics/yungjoc/itsgoindown.html
19,SOS,Rihanna,2006,Rihanna,https://www.azlyrics.com/lyrics/rihanna/sosrescueme.html
20,I Write Sins Not Tragedies,Panic! At The Disco,2006,Panic! At The Disco,https://www.azlyrics.com/lyrics/panicatthedisco/iwritesinsnottragedies.html
21,Move Along,The All-American Rejects,2006,The All-American Rejects,https://www.azlyrics.com/lyrics/allamericanrejects/movealong.html
22,London Bridge,Fergie,2006,Fergie,https://www.azlyrics.com/lyrics/fergie/londonbridge.html
23,Dani California,Red Hot Chili Peppers,2006,Red Hot Chili Peppers,https://www.azlyrics.com/lyrics/redhotchilipeppers/danicalifornia.html
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,Lil Jon,https://www.azlyrics.com/lyrics/yungjoc/snapurfingerscuzitsgoindown.html
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,Dem Franchize Boyz,https://www.azlyrics.com/lyrics/demfranchizeboyz/leanwititrockwitit.html
26,What Hurts The Most,Rascal Flatts,2006,Rascal Flatts,https://www.azlyrics.com/lyrics/rascalflatts/whathurtsthemost.html
27,How To Save A Life,The Fray,2006,The Fray,https://www.azlyrics.com/lyrics/fray/howtosavealife.html
28,Unfaithful,Rihanna,2006,Rihanna,https://www.azlyrics.com/lyrics/rihanna/unfaithful.html
29,Chasing Cars,Snow Patrol,2006,Snow Patrol,https://www.azlyrics.com/lyrics/snowpatrol/chasingcars.html
30,Lips Of An Angel,Hinder,2006,Hinder,https://www.azlyrics.com/lyrics/hinder/lipsofanangel.html
31,Everytime We Touch,Cascada,2006,Cascada,https://www.azlyrics.com/lyrics/cascada/everytimewetouch.html
32,Ain't No Other Man,Christina Aguilera,2006,Christina Aguilera,https://www.azlyrics.com/lyrics/christinaaguilera/aintnootherman.html
33,"Dance, Dance",Fall Out Boy,2006,Fall Out Boy,https://www.azlyrics.com/lyrics/falloutboy/dancedance.html
34,Gold Digger,Kanye West Featuring Jamie Foxx,2006,Kanye West,https://www.azlyrics.com/lyrics/kanyewest/golddigger.html
35,Money Maker,Ludacris Featuring Pharrell,2006,Ludacris,https://www.azlyrics.com/lyrics/ludacris/moneymaker.html
36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,Bubba Sparxxx,https://www.azlyrics.com/lyrics/bubbasparxxx/msnewbooty.html
37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,Sean Paul,NA
38,Photograph,Nickelback,2006,Nickelback,https://www.azlyrics.com/lyrics/nickelback/photograph.html
39,Because Of You,Kelly Clarkson,2006,Kelly Clarkson,https://www.azlyrics.com/lyrics/kellyclarkson/becauseofyou.html
40,Stickwitu,The Pussycat Dolls,2006,The Pussycat Dolls,https://www.azlyrics.com/lyrics/pussycatdolls/stickwitu.html
41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,T-Pain,https://www.azlyrics.com/lyrics/tpain/imnluvwitastripper.html
42,My Humps,The Black Eyed Peas,2006,The Black Eyed Peas,https://www.azlyrics.com/lyrics/mattyb/myhumps.html
43,Where'd You Go,Fort Minor Featuring Holly Brook,2006,Fort Minor,https://www.azlyrics.com/lyrics/fortminor/wheredyougo.html
44,Yo (Excuse Me Miss),Chris Brown,2006,Chris Brown,https://www.azlyrics.com/lyrics/chrisbrown/yoexcusememiss.html
45,Walk Away,Kelly Clarkson,2006,Kelly Clarkson,https://www.azlyrics.com/lyrics/kellyclarkson/walkaway.html
46,Laffy Taffy,D4L,2006,D4L,https://www.azlyrics.com/lyrics/d4l/laffytaffy.html
47,What You Know,T.I.,2006,T.I.,https://www.azlyrics.com/lyrics/ti/whatyouknow.html
48,Dirty Little Secret,The All-American Rejects,2006,The All-American Rejects,https://www.azlyrics.com/lyrics/allamericanrejects/dirtylittlesecret.html
49,Savin' Me,Nickelback,2006,Nickelback,https://www.azlyrics.com/lyrics/nickelback/savinme.html
50,Don't Forget About Us,Mariah Carey,2006,Mariah Carey,https://www.azlyrics.com/lyrics/mariahcarey/dontforgetaboutus.html
51,Sexy Love,Ne-Yo,2006,Ne-Yo,https://www.azlyrics.com/lyrics/neyo/sexylove.html
52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,E-40,https://www.azlyrics.com/lyrics/e40/uanddat.html
53,Far Away,Nickelback,2006,Nickelback,https://www.azlyrics.com/lyrics/nickelback/faraway.html
54,What's Left Of Me,Nick Lachey,2006,Nick Lachey,https://www.azlyrics.com/lyrics/nicklachey/whatsleftofme.html
55,So What,Field Mob Featuring Ciara,2006,Field Mob,https://www.azlyrics.com/lyrics/fieldmob/sowhat.html
56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006,Cherish,https://www.azlyrics.com/lyrics/cherish/doittoit.html
57,Black Horse & The Cherry Tree,KT Tunstall,2006,KT Tunstall,https://www.azlyrics.com/lyrics/kttunstall/blackhorsethecherrytree.html
58,There It Go! (The Whistle Song),Juelz Santana,2006,Juelz Santana,https://www.azlyrics.com/lyrics/juelzsantana/thereitgothewhistlesong.html
59,Shoulder Lean,Young Dro Featuring T.I.,2006,Young Dro,https://www.azlyrics.com/lyrics/youngdro/shoulderlean.html
60,Unpredictable,Jamie Foxx Featuring Ludacris,2006,Jamie Foxx,https://www.azlyrics.com/lyrics/jamiefoxx/unpredictable.html
61,My Love,Justin Timberlake Featuring T.I.,2006,Justin Timberlake,https://www.azlyrics.com/lyrics/justintimberlake/mylove.html
